iter	readout	layer_idx	layer	within	between	separation	z	p	minpair
60000	final	2	L01	-0.0822	-0.0248	-0.0574	-0.907	0.8330	2
60000	final	3	L02	-0.0909	-0.0266	-0.0643	-1.198	0.9210	0
60000	final	4	L03	-0.0892	-0.0304	-0.0589	-1.427	0.9590	0
60000	final	5	L04	-0.0838	-0.0352	-0.0486	-1.468	0.9530	0
60000	final	6	L05	-0.0836	-0.0360	-0.0476	-1.566	0.9690	0
60000	final	7	L06	-0.0799	-0.0395	-0.0405	-1.432	0.9410	0
60000	final	8	L07	-0.0720	-0.0467	-0.0253	-1.020	0.8460	0
60000	final	9	L08	-0.0706	-0.0479	-0.0228	-0.869	0.8040	0
60000	final	10	L09	-0.0684	-0.0499	-0.0186	-0.746	0.7580	0
60000	final	11	L10	-0.0670	-0.0512	-0.0158	-0.712	0.7470	0
60000	final	12	L11	-0.0646	-0.0534	-0.0112	-0.458	0.6490	0
60000	final	13	L12	-0.0600	-0.0575	-0.0025	-0.112	0.5280	0
60000	final	14	L13	-0.0579	-0.0594	0.0015	0.074	0.4510	0
60000	final	15	L14	-0.0568	-0.0603	0.0034	0.146	0.4230	0
60000	final	16	L15	-0.0581	-0.0591	0.0010	0.049	0.4450	0
60000	after	0	embed	-0.1107	-0.0091	-0.1015	-0.824	0.7110	1
60000	after	1	L00	-0.1019	0.0037	-0.1056	-1.191	0.9830	0
60000	after	2	L01	-0.1054	-0.0160	-0.0895	-1.301	0.9720	0
60000	after	3	L02	-0.0995	-0.0189	-0.0806	-1.340	0.9590	0
60000	after	4	L03	-0.0960	-0.0240	-0.0720	-1.720	0.9930	0
60000	after	5	L04	-0.0874	-0.0315	-0.0559	-1.438	0.9610	0
60000	after	6	L05	-0.0505	-0.0654	0.0148	0.502	0.2810	0
60000	after	7	L06	-0.0194	-0.0932	0.0738	2.639	0.0150	0
60000	after	8	L07	-0.0040	-0.1067	0.1027	3.434	0.0020	2
60000	after	9	L08	0.0356	-0.1413	0.1770	6.174	0.0000	4
60000	after	10	L09	0.0544	-0.1575	0.2119	7.184	0.0000	5
60000	after	11	L10	0.0593	-0.1617	0.2210	7.158	0.0010	6
60000	after	12	L11	0.0798	-0.1799	0.2597	8.154	0.0000	7
60000	after	13	L12	0.0859	-0.1852	0.2711	8.422	0.0000	7
60000	after	14	L13	0.0931	-0.1915	0.2847	8.197	0.0000	9
60000	after	15	L14	0.0966	-0.1946	0.2912	7.904	0.0000	8
60000	after	16	L15	0.1135	-0.2095	0.3230	8.441	0.0000	8
80000	final	0	embed	-0.0951	-0.0190	-0.0761	-1.279	0.9500	0
80000	final	1	L00	-0.0836	-0.0256	-0.0580	-0.887	0.8320	2
80000	final	2	L01	-0.0837	-0.0256	-0.0581	-0.882	0.8220	2
80000	final	3	L02	-0.0913	-0.0263	-0.0649	-1.175	0.9130	0
80000	final	4	L03	-0.0868	-0.0321	-0.0547	-1.422	0.9460	0
80000	final	5	L04	-0.0825	-0.0364	-0.0462	-1.358	0.9450	0
80000	final	6	L05	-0.0807	-0.0381	-0.0425	-1.548	0.9540	0
80000	final	7	L06	-0.0759	-0.0426	-0.0333	-1.302	0.9130	0
80000	final	8	L07	-0.0664	-0.0512	-0.0151	-0.652	0.7220	0
80000	final	9	L08	-0.0646	-0.0529	-0.0117	-0.537	0.6900	0
80000	final	10	L09	-0.0628	-0.0546	-0.0082	-0.307	0.5930	0
80000	final	11	L10	-0.0614	-0.0558	-0.0056	-0.248	0.5740	0
80000	final	12	L11	-0.0577	-0.0592	0.0016	0.060	0.4580	0
80000	final	13	L12	-0.0531	-0.0634	0.0103	0.518	0.2820	0
80000	final	14	L13	-0.0505	-0.0658	0.0153	0.655	0.2480	0
80000	final	15	L14	-0.0517	-0.0649	0.0132	0.596	0.2710	0
80000	final	16	L15	-0.0523	-0.0644	0.0121	0.592	0.2630	0
80000	after	0	embed	-0.1105	-0.0089	-0.1016	-0.792	0.7800	1
80000	after	1	L00	-0.0980	-0.0102	-0.0878	-1.017	0.8880	0
80000	after	2	L01	-0.0998	-0.0201	-0.0797	-1.200	0.9420	0
80000	after	3	L02	-0.0995	-0.0199	-0.0797	-1.319	0.9680	0
80000	after	4	L03	-0.0930	-0.0267	-0.0663	-1.576	0.9870	0
80000	after	5	L04	-0.0806	-0.0382	-0.0424	-1.214	0.9240	0
80000	after	6	L05	-0.0507	-0.0650	0.0143	0.503	0.2820	0
80000	after	7	L06	-0.0204	-0.0923	0.0719	2.750	0.0110	1
80000	after	8	L07	0.0098	-0.1190	0.1287	4.596	0.0000	3
80000	after	9	L08	0.0516	-0.1552	0.2068	6.837	0.0000	6
80000	after	10	L09	0.0742	-0.1744	0.2485	8.077	0.0000	6
80000	after	11	L10	0.0835	-0.1823	0.2658	8.490	0.0000	7
80000	after	12	L11	0.1059	-0.2027	0.3087	9.671	0.0000	8
80000	after	13	L12	0.1171	-0.2125	0.3296	8.632	0.0000	8
80000	after	14	L13	0.1269	-0.2211	0.3479	9.098	0.0000	8
80000	after	15	L14	0.1353	-0.2285	0.3638	9.030	0.0000	8
80000	after	16	L15	0.1695	-0.2590	0.4285	11.792	0.0000	8
100000	final	0	embed	-0.0946	-0.0190	-0.0756	-1.279	0.9450	0
100000	final	1	L00	-0.0847	-0.0274	-0.0572	-0.867	0.8140	2
100000	final	2	L01	-0.0845	-0.0281	-0.0565	-0.863	0.8040	2
100000	final	3	L02	-0.0905	-0.0279	-0.0626	-1.082	0.8890	0
100000	final	4	L03	-0.0881	-0.0317	-0.0564	-1.484	0.9600	0
100000	final	5	L04	-0.0841	-0.0353	-0.0488	-1.490	0.9610	0
100000	final	6	L05	-0.0808	-0.0381	-0.0428	-1.559	0.9650	0
100000	final	7	L06	-0.0727	-0.0453	-0.0274	-1.096	0.8710	0
100000	final	8	L07	-0.0598	-0.0572	-0.0026	-0.130	0.5240	0
100000	final	9	L08	-0.0582	-0.0586	0.0004	0.008	0.4560	0
